review,sentiment
"This movie was fantastic! I loved every minute of it.",positive
"The plot was boring and the acting was terrible.",negative
"An amazing story with great performances.",positive
"I hated this film, it was a waste of time.",negative
"Brilliant direction and screenplay, highly recommend.",positive
"The worst movie I've ever seen, avoid at all costs.",negative
"Heartwarming and entertaining, a must-watch.",positive
"Disappointing sequel, not as good as the first.",negative
"Outstanding visuals and sound, pure cinema.",positive
"Confusing plot and weak characters, not impressed.",negative
